year,broad_discipline,college_school,major_name,admit_gpa_range,admit_rate,enroll_gpa_range,yield_rate,admits,applicants,enrolls,enroll_25th_percentile,enroll_75th_percentile,admit_25th_percentile,admit_75th_percentile
2020,Fine & Applied Arts,School Of The arts & architecture,Design media arts,3.56 - 3.84,0.058441558,3.54 - 3.83,0.888888889,18,308,16,3.54,3.83,3.56,3.84
2020,Fine & Applied Arts,School Of The arts & architecture,Ethnomusicology,3.75 - 3.99,0.666666667,3.76 - 4.00,0.8,10,15,8,3.76,4.00,3.75,3.99
2020,Fine & Applied Arts,School Of The arts & architecture,World arts & culture,3.62 - 3.84,0.333333333,3.62 - 3.84,1.0,9,27,9,3.62,3.84,3.62,3.84
2020,Fine & Applied Arts,"School Of Theater, film and television",Film & television,3.80 - 3.94,0.01547619,3.82 - 3.97,0.846153846,13,840,11,3.82,3.97,3.80,3.94
2020,Fine & Applied Arts,"School Of Theater, film and television",Theater,3.75 - 3.88,0.031690141,3.69 - 3.87,0.888888889,9,284,8,3.69,3.87,3.75,3.88
2020,Foreign Languages & Lliterature,College Of Letters & science,Asian languages and linguistics,3.37 - 3.77,0.333333333,3.37 - 3.77,1.0,10,30,10,3.37,3.77,3.37,3.77
2020,Foreign Languages & Lliterature,College Of Letters & science,Chinese,3.59 - 3.85,0.333333333,3.57 - 3.79,0.5,18,54,9,3.57,3.79,3.59,3.85
2020,Foreign Languages & Lliterature,College Of Letters & science,Comparative literature,3.57 - 3.87,0.528301887,3.47 - 3.78,0.571428571,28,53,16,3.47,3.78,3.57,3.87
2020,Foreign Languages & Lliterature,College Of Letters & science,French,3.53 - 3.94,0.611111111,,0.363636364,11,18,4,,,3.53,3.94
2020,Foreign Languages & Lliterature,College Of Letters & science,Japanese,3.55 - 3.91,0.505494505,3.42 - 3.87,0.630434783,46,91,29,3.42,3.87,3.55,3.91
2020,Foreign Languages & Lliterature,College Of Letters & science,Korean,3.78 - 3.87,0.4,3.78 - 3.85,0.75,8,20,6,3.78,3.85,3.78,3.87
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics,3.62 - 3.91,0.45631068,3.52 - 3.89,0.574468085,47,103,27,3.52,3.89,3.62,3.91
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics - english,3.66 - 3.91,0.294117647,,0.8,5,17,4,,,3.66,3.91
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & anthropology,3.64 - 3.81,0.282608696,3.62 - 3.78,0.615384615,13,46,8,3.62,3.78,3.64,3.81
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & asian languages & cultures,3.69 - 3.91,0.169014085,3.68 - 3.90,0.5,24,142,12,3.68,3.90,3.69,3.91
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & computer science,3.63 - 3.93,0.280487805,3.57 - 3.82,0.608695652,23,82,14,3.57,3.82,3.63,3.93
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & philosophy,3.42 - 3.86,0.275862069,3.39 - 3.77,0.625,8,29,5,3.39,3.77,3.42,3.86
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & psychology,3.51 - 3.89,0.4,3.55 - 3.88,0.647058824,34,85,22,3.55,3.88,3.51,3.89
2020,Foreign Languages & Lliterature,College Of Letters & science,Linguistics & spanish,3.56 - 3.78,0.555555556,,0.6,5,9,3,,,3.56,3.78
2020,Foreign Languages & Lliterature,College Of Letters & science,Spanish,3.37 - 3.80,0.413333333,3.37 - 3.71,0.419354839,31,75,13,3.37,3.71,3.37,3.80
2020,Foreign Languages & Lliterature,College Of Letters & science,Spanish & linguistics,3.60 - 3.71,0.526315789,3.62 - 3.93,0.6,10,19,6,3.62,3.93,3.60,3.71
